DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T1,Departure,Domestic,160413
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,T5,Departure,Domestic,223866
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,T5,Departure,Domestic,266035
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T6,Arrival,International,6195
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T8,Arrival,Domestic,54925
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,T5,Arrival,Domestic,365255
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,Domestic,20394
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,T6,Arrival,Domestic,110785
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,T7,Departure,International,15251
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T1,Arrival,Domestic,162770
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,T4,Departure,Domestic,242919
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,International,199
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,T4,Arrival,Domestic,207905
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,T4,Departure,International,17142
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,T5,Arrival,Domestic,220456
04/09/2021 10:34:29 AM,03/01/2021 12:00:00 AM,T6,Arrival,International,7495
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T2,Departure,Domestic,258987
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,Domestic,244
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T2,Departure,International,19161
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,Domestic,19884
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,Domestic,65705
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,T8,Departure,Domestic,47627
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T7,Arrival,Domestic,141457
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T8,Departure,International,2953
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,T8,Departure,Domestic,49034
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,T5,Arrival,International,49
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,T4,Arrival,International,2351
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,T8,Departure,International,1255
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,T6,Departure,Domestic,111915
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,Domestic,393
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,T5,Departure,International,1471
